Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,The Personnel Group Ltd,ECHUCA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.1254322, 'lng': 144.7512733}, 'viewport': {'northeast': {'lat': -36.12414642010727, 'lng': 144.7528242298927}, 'southwest': {'lat': -36.12684607989272, 'lng': 144.7501245701073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJl7iq2yAD2WoRbSX2lEQPlsI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '195', 'short_name': '195', 'types': ['street_number']}, {'long_name': 'Annesley Street', 'short_name': 'Annesley St', 'types': ['route']}, {'long_name': 'Echuca', 'short_name': 'Echuca', 'types': ['locality', 'political']}, {'long_name': 'Campaspe Shire', 'short_name': 'Campaspe', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3564', 'short_name': '3564', 'types': ['postal_code']}], 'formatted_address': '195 Annesley St, Echuca VIC 3564, Australia', 'formatted_phone_number': '(03) 5482 6311', 'url': 'https://maps.google.com/?cid=14021411277095970157', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,ESKDALE,VIC,All Client Types,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,GISBORNE,VIC,All Client Types,2,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,HEATHCOTE,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -36.7640122, 'lng': 144.2781364}, 'viewport': {'northeast': {'lat': -36.76261572010728, 'lng': 144.2794336798927}, 'southwest': {'lat': -36.76531537989273, 'lng': 144.2767340201073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJCULPj-1Z12oR4_UCoXmAq2M'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '2', 'short_name': '2', 'types': ['subpremise']}, {'long_name': '59', 'short_name': '59', 'types': ['street_number']}, {'long_name': 'King Street', 'short_name': 'King St', 'types': ['route']}, {'long_name': 'Bendigo', 'short_name': 'Bendigo', 'types': ['locality', 'political']}, {'long_name': 'Greater Bendigo City', 'short_name': 'Greater Bendigo', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3550', 'short_name': '3550', 'types': ['postal_code']}], 'formatted_address': '2/59 King St, Bendigo VIC 3550, Australia', 'formatted_phone_number': '(03) 5410 0032', 'url': 'https://maps.google.com/?cid=7181975290653111779', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,KILMORE,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.290349, 'lng': 144.950812}, 'viewport': {'northeast': {'lat': -37.28904507010728, 'lng': 144.9519983798927}, 'southwest': {'lat': -37.29174472989272, 'lng': 144.9492987201072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ8-9MPMuj12oRi_KZ77BUgpU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '74E', 'short_name': '74E', 'types': ['street_number']}, {'long_name': 'Sydney Street', 'short_name': 'Sydney St', 'types': ['route']}, {'long_name': 'Kilmore', 'short_name': 'Kilmore', 'types': ['locality', 'political']}, {'long_name': 'Mitchell Shire', 'short_name': 'Mitchell', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3764', 'short_name': '3764', 'types': ['postal_code']}], 'formatted_address': '74E Sydney St, Kilmore VIC 3764, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=10773266377534468747', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,KYABRAM,VIC,All Client Types,5,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,KYNETON,VIC,All Client Types,2,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,MANSFIELD,VIC,All Client Types,5,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,MARYBOROUGH,VIC,All Client Types,2,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,MOOROOPNA,VIC,All Client Types,New Site,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,MYRTLEFORD,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -36.3565953, 'lng': 146.3263857}, 'viewport': {'northeast': {'lat': -36.35531587010728, 'lng': 146.3276329798927}, 'southwest': {'lat': -36.35801552989273, 'lng': 146.3249333201072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJM4_l1rrbJmsRBKsSsLhSwCU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '24', 'short_name': '24', 'types': ['street_number']}, {'long_name': 'Ely Street', 'short_name': 'Ely St', 'types': ['route']}, {'long_name': 'Wangaratta', 'short_name': 'Wangaratta', 'types': ['locality', 'political']}, {'long_name': 'Wangaratta Rural City', 'short_name': 'Wangaratta', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3677', 'short_name': '3677', 'types': ['postal_code']}], 'formatted_address': '24 Ely St, Wangaratta VIC 3677, Australia', 'formatted_phone_number': '(03) 5721 4011', 'url': 'https://maps.google.com/?cid=2720265128113253124', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,RUTHERGLEN,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -35.9977617, 'lng': 146.3914723}, 'viewport': {'northeast': {'lat': -35.99641317010728, 'lng': 146.3926957798927}, 'southwest': {'lat': -35.99911282989272, 'lng': 146.3899961201073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJD9klL8g6IWsRy48jAORiMmo'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '117', 'short_name': '117', 'types': ['street_number']}, {'long_name': 'Sanger Street', 'short_name': 'Sanger St', 'types': ['route']}, {'long_name': 'Corowa', 'short_name': 'Corowa', 'types': ['locality', 'political']}, {'long_name': 'Federation Council', 'short_name': 'Federation Council', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'New South Wales', 'short_name': 'NSW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '2646', 'short_name': '2646', 'types': ['postal_code']}], 'formatted_address': '117 Sanger St, Corowa NSW 2646, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=7652287448250290123', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,SEYMOUR,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.0248029, 'lng': 145.1340663}, 'viewport': {'northeast': {'lat': -37.02350142010727, 'lng': 145.1353323298927}, 'southwest': {'lat': -37.02620107989272, 'lng': 145.1326326701073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ-fd5dVOL12oRMox6UVaa7wE'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '6', 'short_name': '6', 'types': ['subpremise']}, {'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Tallarook Street', 'short_name': 'Tallarook St', 'types': ['route']}, {'long_name': 'Seymour', 'short_name': 'Seymour', 'types': ['locality', 'political']}, {'long_name': 'Mitchell Shire', 'short_name': 'Mitchell', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3660', 'short_name': '3660', 'types': ['postal_code']}], 'formatted_address': '6/8 Tallarook St, Seymour VIC 3660, Australia', 'formatted_phone_number': '(03) 5771 1400', 'url': 'https://maps.google.com/?cid=139499808996625458', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,SHEPPARTON,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -36.3764618, 'lng': 145.4000133}, 'viewport': {'northeast': {'lat': -36.37512222010728, 'lng': 145.4014410298927}, 'southwest': {'lat': -36.37782187989272, 'lng': 145.3987413701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJYwVkXQaE2GoRNIe1sIX6gGQ'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '114-116', 'short_name': '114-116', 'types': ['street_number']}, {'long_name': 'Wyndham Street', 'short_name': 'Wyndham St', 'types': ['route']}, {'long_name': 'Shepparton', 'short_name': 'Shepparton', 'types': ['locality', 'political']}, {'long_name': 'Greater Shepparton City', 'short_name': 'Greater Shepparton', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3630', 'short_name': '3630', 'types': ['postal_code']}], 'formatted_address': '114-116 Wyndham St, Shepparton VIC 3630, Australia', 'formatted_phone_number': '(03) 5821 5888', 'url': 'https://maps.google.com/?cid=7242063652914038580', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,TALLANGATTA,VIC,All Client Types,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,WALLAN,VIC,All Client Types,3,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,WALWA,VIC,All Client Types,4,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,WANGARATTA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.3565953, 'lng': 146.3263857}, 'viewport': {'northeast': {'lat': -36.35531587010728, 'lng': 146.3276329798927}, 'southwest': {'lat': -36.35801552989273, 'lng': 146.3249333201072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJM4_l1rrbJmsRBKsSsLhSwCU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '24', 'short_name': '24', 'types': ['street_number']}, {'long_name': 'Ely Street', 'short_name': 'Ely St', 'types': ['route']}, {'long_name': 'Wangaratta', 'short_name': 'Wangaratta', 'types': ['locality', 'political']}, {'long_name': 'Wangaratta Rural City', 'short_name': 'Wangaratta', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3677', 'short_name': '3677', 'types': ['postal_code']}], 'formatted_address': '24 Ely St, Wangaratta VIC 3677, Australia', 'formatted_phone_number': '(03) 5721 4011', 'url': 'https://maps.google.com/?cid=2720265128113253124', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,WEDDERBURN,VIC,All Client Types,2,"[{'candidates': [], 'status': 'ZERO_RESULTS'}]",
DES-Employment Support Service,The Personnel Group Ltd,WEST WODONGA,VIC,All Client Types,New Site,"[{'candidates': [{'geometry': {'location': {'lat': -36.1239882, 'lng': 146.8853886}, 'viewport': {'northeast': {'lat': -36.12266317010727, 'lng': 146.8868879298927}, 'southwest': {'lat': -36.12536282989272, 'lng': 146.8841882701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJL8XTxXdZIWsRyTuoaFhEoBA'}, {'geometry': {'location': {'lat': -36.0789054, 'lng': 146.9157766}, 'viewport': {'northeast': {'lat': -36.07757032010728, 'lng': 146.9172393298927}, 'southwest': {'lat': -36.08026997989272, 'lng': 146.9145396701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJhWtqgGNfIWsR2nfLOXzixTI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '115', 'short_name': '115', 'types': ['street_number']}, {'long_name': 'Hume Street', 'short_name': 'Hume St', 'types': ['route']}, {'long_name': 'Wodonga', 'short_name': 'Wodonga', 'types': ['locality', 'political']}, {'long_name': 'Wodonga City', 'short_name': 'Wodonga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3690', 'short_name': '3690', 'types': ['postal_code']}], 'formatted_address': '115 Hume St, Wodonga VIC 3690, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=1198032647384218569', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,WODONGA,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -36.1239882, 'lng': 146.8853886}, 'viewport': {'northeast': {'lat': -36.12266317010727, 'lng': 146.8868879298927}, 'southwest': {'lat': -36.12536282989272, 'lng': 146.8841882701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJL8XTxXdZIWsRyTuoaFhEoBA'}, {'geometry': {'location': {'lat': -36.0789054, 'lng': 146.9157766}, 'viewport': {'northeast': {'lat': -36.07757032010728, 'lng': 146.9172393298927}, 'southwest': {'lat': -36.08026997989272, 'lng': 146.9145396701072}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJhWtqgGNfIWsR2nfLOXzixTI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '115', 'short_name': '115', 'types': ['street_number']}, {'long_name': 'Hume Street', 'short_name': 'Hume St', 'types': ['route']}, {'long_name': 'Wodonga', 'short_name': 'Wodonga', 'types': ['locality', 'political']}, {'long_name': 'Wodonga City', 'short_name': 'Wodonga', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3690', 'short_name': '3690', 'types': ['postal_code']}], 'formatted_address': '115 Hume St, Wodonga VIC 3690, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=1198032647384218569', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
DES-Employment Support Service,The Personnel Group Ltd,YARRAWONGA,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -36.012169, 'lng': 146.0048083}, 'viewport': {'northeast': {'lat': -36.01081812010727, 'lng': 146.0060199798927}, 'southwest': {'lat': -36.01351777989272, 'lng': 146.0033203201073}}}, 'name': 'The Personnel Group', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJazMEvHfNIGsRDe0GA5NMkXY'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '88e', 'short_name': '88e', 'types': ['street_number']}, {'long_name': 'Belmore Street', 'short_name': 'Belmore St', 'types': ['route']}, {'long_name': 'Yarrawonga', 'short_name': 'Yarrawonga', 'types': ['locality', 'political']}, {'long_name': 'Moira Shire', 'short_name': 'Moira', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3730', 'short_name': '3730', 'types': ['postal_code']}], 'formatted_address': '88e Belmore St, Yarrawonga VIC 3730, Australia', 'formatted_phone_number': '1300 874 000', 'url': 'https://maps.google.com/?cid=8543694162393230605', 'website': 'http://www.personnelgroup.com.au/'}, 'status': 'OK'}]"
